title,price,currency,discount_pct,link,image_url
"Manfinity CityGents European And American New Blogger Stylish Design Casual Men's Pullover Knit Sweater, White Knit Sweater",28.48,CAD,,https://onelink.shein.com/52/6222qfgfgor9?ismg_ol=BedjIdnKfVa_01_KOC-C,
"Men's Thin Summer Cargo Pants, Solid Color Commuter Casual Straight Leg Long Trousers, Belt Not Included",18.38,CAD,,https://onelink.shein.com/52/6222tnv937zz?ismg_ol=JBGg1S8uEck_01_KOC-C,
1pc Men's The Mare Club Collective Trucker Hat Personalized Letter Embroidery Baseball Cap Street Fashion Five-Panel Hat Outdoor Sun Protection Casual,7.43,CAD,25,https://onelink.shein.com/52/6222ufhope6c?ismg_ol=HewWsQSx842_01_KOC-C,
Manfinity CasualCool Men's Blue Textured Pleated Mature T-Shirt For Spring/Summer,15.68,CAD,,https://onelink.shein.com/52/623fjuag4315?ismg_ol=A0BqvAbFAGM_01_KOC-C,
Naviga Onda Summer Holiday Men's Summer Casual Solid Color Shirt And Shorts Beach Outfit Holiday / Vacation / Beach / Hawaii / Tropical / Swim /  Bathing,23.08,CAD,,https://onelink.shein.com/52/623fn6nbzfhu?ismg_ol=2AQNEsmHYup_01_KOC-C,
"HIMLAND Men's Plain Woven Casual Short Sleeve Cotton Shirt, For Going Out, Husband, Vacation, Father's Day Gifts",21.08,CAD,,https://onelink.shein.com/52/623fnubpcsje?ismg_ol=IPfhlPLB8cx_01_KOC-C,
"Manfinity Mode Men's Coffee Brown Suit Pants, Loose Casual Versatile Business Commute Straight Leg Trousers, Formal, Old Money",31.78,CAD,,https://onelink.shein.com/52/623fp7nh5gjk?ismg_ol=2hSQiqtCjvn_01_KOC-C,
"Manfinity Mode Men's Light Grey Summer Casual Office Pleated Pants,Stretchy Khaki Dress Pants With Belt Loops,Solid Color Old Money Style Suit Pants For Semi-Formal",23.98,CAD,,https://onelink.shein.com/52/623fprdsa0cm?ismg_ol=Du03ZP2kwkQ_01_KOC-C,
Manfinity Homme Men's Solid Color Brown Drawstring Waist Pockets Straight Leg Casual Pants,20.48,CAD,,https://onelink.shein.com/52/623fq952bwrc?ismg_ol=LUDZpMQjE8U_01_KOC-C,
"Manfinity Homme Men's Solid Color Minimalist Casual Zip-Up Long Sleeve Jacket Coat Windbreaker/Outdoor Windbreaker, For Fall",23.09,CAD,3,https://onelink.shein.com/52/623fr0rhvz5u?ismg_ol=2EabFclzTqS_01_KOC-C,
"Manfinity Homme Men's Solid Color Zip-Up Casual Jacket, Autumn/Winter Men Zip Up Shirt Crop For Jackets Long Sleeve Sweater",34.38,CAD,,https://onelink.shein.com/52/623frmgu5a5d?ismg_ol=DIwzCtYV2ak_01_KOC-C,
Manfinity Roghcode Casual Men's Zip-Up Sweatshirt White Knitted Fabric Regular Length Stand Collar Jacket With Wrist-Length Sleeves,32.08,CAD,,https://onelink.shein.com/52/623fs67594jq?ismg_ol=3PN5YVuqvMX_01_KOC-C,
Men's Fashionable Casual Sneakers,20.8,CAD,,https://onelink.shein.com/52/623ftvd3q4g6?ismg_ol=EGc2dJ3qmmz_01_KOC-C,
"Men's Casual Slip-On Loafers - Knitted Breathable Casual Shoes, Solid Color Design, Rubber Sole Comfortable Low-Top, Fashionable Casual Shoes, Breathable And Comfortable",34.38,CAD,2,https://onelink.shein.com/52/623fu96bh3so?ismg_ol=HIFtrbZhKC9_01_KOC-C,
"Men's Non-Slip Embossed Letter & Color Block Lace-Up Sport Shoes, Outdoor Activities Tennis Shoes, For Jeans Outfit",37.56,CAD,1,https://onelink.shein.com/52/623fumzjcaro?ismg_ol=ESY1oqLmbtf_01_KOC-C,
Marcello Vane Casual Minimalist Business Commute Versatile Short Sleeve Men Knit Top Men Brown Polo Shirt Men Tan Knit Top,23.08,CAD,,https://onelink.shein.com/52/623fvcmxq7dj?ismg_ol=DF97ipqHVfN_01_KOC-C,
ROMWE MEN Men's Designer Fashion Button-Down Short Sleeve Shirt,19.46,CAD,15,https://onelink.shein.com/52/623fwa6gpy0e?ismg_ol=KfgukM6ZZYK_01_KOC-C,
"1pc Black Faux Linen Men's Classic Collar Short Sleeve Shirt, Lightweight Men's Shirt, Men's Top, Men's Vacation Short Sleeve Shirt, Casual Vacation Style, Machine Washable, Summer Beach Vacation Men's T-Shirt, Style Runs Large. Please Size Down For A Better Fit",17.18,CAD,,https://onelink.shein.com/52/623fwvvsxufn?ismg_ol=LO52etNcDUA_01_KOC-C,
SUMWON Oversized Mesh Jersey Long Sleeve Varsity T Shirt With Number 03 Print Streetwear Style Spring Fall Collection Casual,7.67,CAD,52,https://onelink.shein.com/52/623fxjk68ec2?ismg_ol=H6AO2Zg0DKF_01_KOC-C,
